Name,Description
Iron Man,"When wealthy industrialist Tony Stark is forced to build an armored suit after a life-threatening incident, he ultimately decides to use the technology to fight against evil. "
The Incredible Hulk,"Thanks to a gamma ray experiment gone wrong, Dr. Bruce Banner must deal with the side effects as well as being hunted by the military. Meanwhile, a soldier uses the same technology to become a deadly abomination. "
Thor,"The powerful but arrogant Asgardian Thor is cast out from his home to live among humans on Earth, where he must learn humility, and ends up finding love. "
Iron Man 2,"With the world now aware of his dual life as an armored superhero, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military, along with dealing with an insane Russian genius who is intent on killing him. "
Captain America: The First Avenger,"After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into Captain America, a superhero dedicated to defending American ideals. "
Marvel's The Avengers,"When global security is threatened by Loki and his cohorts, Nick Fury of S.H.I.E.L.D. assembles a team of superheroes to save the world from disaster. "
Guardians of the Galaxy,"In outer space, Peter Quill, a man taken from Earth as a child, joins up with a rag-tag group of extraterrestrial misfits in order to take down Ronan, a sadistic leader of the alien Kree who seeks an object that could potentially threaten the entire galaxy. "
Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. "
Captain America: The Winter Soldier,"Steve Rogers struggles to embrace his role in the modern world and teams up with Natasha Romanoff, AKA Black Widow, to battle a powerful but shadowy enemy in present-day Washington, D.C. "
Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution. "
Avengers: Age of Ultron,"In a world where HYDRA continues to gain power and control, Tony Stark builds an advanced A.I to combat the organization. Plans go awry when the machine becomes self-aware and targets the Avengers. "
Thor: The Dark World,"When Jane Foster is targeted by the denizens of the dark world Svartalfheim and a mysterious weapon called the Aether, Thor sets out a quest to protect her at all costs. "
Thor: Ragnarok,"In Marvel Studios' Thor: Ragnarok, Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarök – the destruction of his homeworld and the end of Asgardian civilization – at the hands of an all-powerful new threat, the ruthless Hela. But first he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avenger – the Incredible Hulk! "
Guardians of the Galaxy Vol. 2,"Set to the backdrop of ""Awesome Mixtape #2,"" Marvel's Guardians of the Galaxy Vol. 2 continues the team's adventures as they traverse the outer reaches of the cosmos. The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage. Old foes become new allies and fan-favorite characters from the classic comics will come to our heroes' aid as the Marvel Cinematic Universe continues to expand. "
Doctor Strange,"From Marvel comes Doctor Strange, the story of the world-famous neurosurgeon Dr. Stephen Strange whose life changes forever after a horrific car accident robs him of the use of his hands. When traditional medicine fails him, he is forced to look for healing, and hope, in an unlikely place – a mysterious enclave known as Kamar-Taj. He quickly learns that this is not just a center for healing but also the front line of a battle against unseen dark forces bent on destroying our reality. Before long Strange – armed with newly acquired magical powers – is forced to choose whether to return to his life of fortune and status or leave it all behind to defend the world as the most powerful sorcerer in existence"
Avengers: Infinity War,"An unprecedented cinematic journey ten years in the making and spanning the entire Marvel Cinematic Universe, Marvel Studios’ Avengers: Infinity War brings to the screen the ultimate, deadliest showdown of all time."
Spider-Man: Homecoming,"A young Peter Parker/Spider-Man (Tom Holland), who made his sensational debut in Captain America: Civil War, begins to navigate his newfound identity as the web-slinging superhero in Spider-Man: Homecoming. Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May (Marisa Tomei), under the watchful eye of his new mentor Tony Stark (Robert Downey, Jr.). Peter tries to fall back into his normal daily routine – distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man – but when the Vulture (Michael Keaton) emerges as a new villain, everything that Peter holds most important will be threatened."
Captain America: Civil War,"Marvel's Captain America: Civil War finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps—one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability. "
Black Panther,"Black Panther follows T'Challa who, after the events of Captain America: Civil War, returns home to the isolated, technologically advanced African nation of Wakanda to take his place as King. However, when an old enemy reappears on the radar, T’Challa’s mettle as King and Black Panther is tested when he is drawn into a conflict that puts the entire fate of Wakanda and the world at risk. "